index,shape-type,vertex-index,axis-0,axis-1
0,path,0,13039.528278512013,16670.39619937689
0,path,1,12807.14659216792,17815.70593921563
0,path,2,12873.541359694804,18927.81829529093
0,path,3,13105.923046038895,19425.779051742556
0,path,4,13222.113889210941,19973.535883839344
0,path,5,13222.113889210941,20471.49664029097
0,path,6,13022.929586630291,21201.83908308669
0,path,7,13022.929586630291,21450.8194613125
0,path,8,13321.706040501267,21450.8194613125
0,path,9,13637.081186253963,21168.64169932325
0,path,10,13902.660256361498,20587.687483463018
0,path,11,14151.640634587311,19956.937191957622
0,path,12,14151.640634587311,19608.364662441483
0,path,13,14002.252407651822,19044.009138462974
0,path,14,13935.85764012494,18313.666695667256
0,path,15,13952.45633200666,17799.107247333908
0,path,16,14184.838018350752,17218.153031473677
0,path,17,14284.430169641078,17118.56088018335
0,path,18,14367.423629049683,16952.573961366143
0,path,19,14135.04194270559,17018.96872889303
0,path,20,13902.660256361498,17433.93602593605
0,path,21,13786.469413189452,17782.508555452187
0,path,22,13670.278570017404,18313.666695667256
0,path,23,13736.67333754429,18828.226144000604
0,path,24,13786.469413189452,19209.996057280183
0,path,25,13819.666796952893,19641.562046204926
0,path,26,13720.074645662567,20139.522802656553
0,path,27,13554.087726845359,20537.891407817853
0,path,28,13404.699499909872,20720.477018516784
0,path,29,13504.291651200196,20222.516262065157
0,path,30,13471.094267436754,19807.548965022135
0,path,31,13421.298191791591,19458.976435505996
0,path,32,13338.304732382987,19226.594749161904
0,path,33,13255.311272974383,18878.022219645765
0,path,34,13172.317813565778,18446.45623072102
0,path,35,13155.719121684058,17981.69285803284
0,path,36,13155.719121684058,17367.541258409165
0,path,37,13139.120429802337,16919.376577602703
0,path,38,13056.126970393732,16686.99489125861
0,path,39,13056.126970393732,16686.99489125861
1,path,0,14371.257137577493,17205.848140043287
1,path,1,14397.954443345687,17252.568425137622
1,path,2,14431.326075555928,17332.660342442206
1,path,3,14444.674728440026,17439.44956551498
1,path,4,14478.046360650267,17599.63340012414
1,path,5,14498.069339976413,17739.794255407156
1,path,6,14518.092319302557,17926.675395784514
1,path,7,14538.115298628702,18233.694412118737
1,path,8,14544.78962507075,18233.694412118737
1,path,9,14551.4639515128,18240.368738560785
1,path,10,14578.161257280994,18660.851304409836
1,path,11,14658.253174585574,19001.241952954304
1,path,12,14711.647786121961,19361.655580824918
1,path,13,14798.414029868589,19735.417861579626
1,path,14,14791.739703426541,20215.96936540711
1,path,15,14631.55586881738,20609.754625487963
1,path,16,14397.954443345687,21016.888538452917
1,path,17,14197.724650084234,21230.466984598468
1,path,18,13930.751592402301,21584.20628602703
1,path,19,13643.75555539422,21877.87664947716
1,path,20,13336.736539059993,21971.317219665838
1,path,21,13009.694543399622,22064.757789854513
1,path,22,12642.606589086961,22291.68488888416
1,path,23,12442.37679582551,22438.520070609226
1,path,24,12262.169981890203,22572.006599450193
1,path,25,12162.055085259477,22718.84178117526
1,path,26,12055.265862186703,22738.864760501405
1,path,27,11794.967130946816,22585.355252334288
1,path,28,11761.595498736573,22331.73084753645
1,path,29,11881.733374693444,22084.78076918066
1,path,30,12048.591535744656,21717.692814867998
1,path,31,12045.138305639317,21707.14095156372
1,path,32,11750.20436200667,21338.473522022912
1,path,33,11440.52372119239,20807.592423484144
1,path,34,11145.589777559744,20276.711324945383
1,path,35,10880.149228290362,19745.830226406615
1,path,36,10732.682256474038,19185.455733504587
1,path,37,10585.215284657716,18625.081240602558
1,path,38,10540.975193112818,18094.200142063793
1,path,39,10585.215284657716,17430.598768890337
1,path,40,10644.202073384244,17002.944550623
1,path,41,10747.42895365567,16560.543635174028
1,path,42,10924.389319835258,16103.396022543426
1,path,43,11116.09638319648,15719.981895820985
1,path,44,11396.283629647494,15292.327677553647
1,path,45,11558.49729864545,14849.926762104677
1,path,46,11838.684545096465,14348.539057929176
1,path,47,12118.871791547479,13935.631536843472
1,path,48,12428.55243236176,13596.457501665927
1,path,49,12723.486375994406,13345.763649578177
1,path,50,13047.913713990318,13242.536769306751
1,path,51,13313.3542632597,13316.270255214913
1,path,52,13460.821235076024,13419.49713548634
1,path,53,13490.314629439288,13640.697593210823
1,path,54,13652.528298437244,13906.138142480206
1,path,55,13755.75517870867,14127.338600204692
1,path,56,13873.728756161729,14363.28575511081
1,path,57,13873.728756161729,14731.953184651618
1,path,58,13741.008481527038,15233.340888827119
1,path,59,13637.781601255612,15631.501712731191
1,path,60,13534.554720984184,15793.715381729147
1,path,61,13519.808023802552,16309.84978308628
1,path,62,13534.554720984184,16649.023818263824
1,path,63,13534.554720984184,17002.944550623
1,path,64,13416.581143531126,17342.118585800545
1,path,65,13239.620777351538,17592.812437888293
1,path,66,13195.380685806642,17445.34546607197
1,path,67,13195.380685806642,17179.90491680259
1,path,68,13195.380685806642,16929.211064714837
1,path,69,13136.393897080112,16737.504001353616
1,path,70,13047.913713990318,16649.023818263824
1,path,71,12988.926925263788,16958.7044590781
1,path,72,12841.459953447464,17312.625191437277
1,path,73,12797.219861902568,17622.305832251557
1,path,74,12767.726467539303,17902.493078702573
1,path,75,12767.726467539303,18285.907205425014
1,path,76,12767.726467539303,18521.854360331134
1,path,77,12767.726467539303,18920.015184235206
1,path,78,12885.700044992362,19155.962339141322
1,path,79,13003.67362244542,19406.65619122907
1,path,80,13106.900502716848,19657.350043316823
1,path,81,13165.887291443376,19996.524078494367
1,path,82,13180.633988625008,20306.204719308647
1,path,83,13121.64719989848,20601.138662941295
1,path,84,13077.407108353582,20851.83251502904
1,path,85,12944.686833718892,21176.259853024952
1,path,86,12929.940136537258,21367.966916386176
1,path,87,12996.345890515526,21470.74273651221
1,path,88,13169.878378008785,21484.091389396304
1,path,89,13303.364906849753,21484.091389396304
1,path,90,13430.177109248672,21417.348124975822
1,path,91,13510.269026553253,21323.907554787143
1,path,92,13657.104208278315,21210.444005272322
1,path,93,13970.79755105459,20509.63972885724
1,path,94,14164.353017873993,20042.436877913853
1,path,95,14191.050323642186,19682.02325004324
1,path,96,14130.981385663752,19301.58664284648
1,path,97,14037.540815475073,19021.26493228045
1,path,98,14004.169183264832,18600.7823664314
1,path,99,13964.12322461254,18133.57951548801
1,path,100,14017.517836148927,17773.165887617397
1,path,101,14024.192162590976,17759.817234733302
1,path,102,14144.330038547847,17399.40360686269
1,path,103,14237.770608736526,17205.848140043287
1,path,104,14304.513873157008,17165.802181390995
